Serial,City,School Name
1,mumbai,5. Shri Bansidhar Aggarwal Model School and Junior College
2,mumbai,A. B. Goregaokar English School
3,mumbai,A. H. Wadia High School
4,mumbai,A L Madrasa Tus Saifiya Tul Burhaniyah
5,mumbai,AADITYA ACADEMY English High School
6,mumbai,Abhay International School
7,mumbai,ABHINAV VIDYA MANDIR ENGLISH
8,mumbai,Abhinav Vidyalay
9,mumbai,Activity High School
10,mumbai,Adarsh
11,mumbai,Adarsh International School (AIS) - Goregaon West
12,mumbai,Aditya Birla World Academy
13,mumbai,Aditya Birla World Academy
14,mumbai,AES High School
15,mumbai,AIRSON ENGLISH SCHOOL
16,mumbai,Ajmera Global School
17,mumbai,Ajmera Global School
18,mumbai,"Akshara High School - Sector 8,Kandiwali West"
19,mumbai,Al Barkaat Malik Muhammad Islam English School
20,mumbai,AL-JAMIATUL FIKRIYA ISLAMIC
21,mumbai,Al Muminah School
22,mumbai,Al Salam English School
23,mumbai,Alpha Kids
24,mumbai,AMAR JYOTI ENGLISH HIGH SCHOOL
25,mumbai,Amber International School
26,mumbai,Amber International School
27,mumbai,American School of Bombay
28,mumbai,American School of Bombay
29,mumbai,Amin High School
30,mumbai,Amity International School
31,mumbai,Amrita Vidyalayam
32,mumbai,"Amrita Vidyalayam, Navi Mumbai"
33,mumbai,Anand Shala & Jr College Of Commerce And Science
34,mumbai,"Anchorwala Education Academy, Vashi"
35,mumbai,Angel Land High School
36,mumbai,Angel's Pride
37,mumbai,Antonio De Souza High School
38,mumbai,ANUPA K. PUBLIC SCHOOL
39,mumbai,A.P. International School
40,mumbai,Apeejay School
41,mumbai,APEEJAY SCHOOL
42,mumbai,Apeejay School
43,mumbai,Aptech Montana International Preschool
44,mumbai,Aptech Montana International Preschool
45,mumbai,Aptech Montana International Preschool
46,mumbai,Aptech Montana International Preschool
47,mumbai,Aptech Montana International Preschool
48,mumbai,Aptech Montana
49,mumbai,Aquinas International School
50,mumbai,Army Public School
51,mumbai,Arqam English School - Taloja
52,mumbai,Arya Cambridge International School
53,mumbai,Arya Gurukul
54,mumbai,ARYA GURUKUL
55,mumbai,Arya Vidya Mandir
56,mumbai,Arya Vidya Mandir School
57,mumbai,Ascend International School - Bandra East
58,mumbai,Asheville World School
59,mumbai,Ashok Academy
60,mumbai,Ashok Public School - Andheri West
61,mumbai,Asp Public School
62,mumbai,Aspee Nutan Academy
63,mumbai,Atma Malik International School
64,mumbai,Atomic Energy Central School -1
65,mumbai,Atomic Energy Central School 2
66,mumbai,ATOMIC ENERGY CENTRAL SCHOOL-2
67,mumbai,Atomic Energy Central School-3 - Anushakti Nagar
68,mumbai,Atomic Energy Central School-3
69,mumbai,Atomic Energy Central School 5
70,mumbai,Atomic Energy Central School - 6
71,mumbai,ATOMIC ENERGY CENTRAL SCHOOL
72,mumbai,ATOMIC ENERGY CENTRAL SCHOOL
73,mumbai,Auxilium Convent High School
74,mumbai,Avalon Heights International School
75,mumbai,B. D. SHUKLA ENGLISH HIGH SCHOOL
76,mumbai,B. S. I. A. S. ENGLISH SCHOOL
77,mumbai,B S Pre Primary School
78,mumbai,Bachpan
79,mumbai,Bachpan
80,mumbai,Bachpan
81,mumbai,Bachpan
82,mumbai,Bai Avabai Framji Petit Girls' High School
83,mumbai,Bai B.S. Bengallee Girls High School - Churchgate
84,mumbai,Bai Kabibai English School &amp; Junior College
85,mumbai,Bai M.N.Gamadia Girls High School
86,mumbai,BAI R.F.D Panday Girls High School
87,mumbai,Bal Bharati Public School
88,mumbai,Balak Vrinda Education Society Secondary School
89,mumbai,BANDRA HINDU ASSOCIATION HIGH SCHOOL
90,mumbai,Bandra New High School - Fort
91,mumbai,B.D. Somani International School
92,mumbai,B.D. Somani International School
93,mumbai,Beacon High School
94,mumbai,Beehive Pre School
95,mumbai,Beehive Pre School
96,mumbai,Beehive Pre School
97,mumbai,Belvedere Spring School
98,mumbai,Besant Montessori School
99,mumbai,Bhagini Kala Mandir High School
100,mumbai,Bhaktivedanta Swami Mission School
101,mumbai,Bhandari Public School
102,mumbai,Bharat International Kids
103,mumbai,Bharati Vidyapeeth English Medium School
104,mumbai,Bharati Vidyapeeth God's Valley International School
105,mumbai,Bharatimata Vidyalaya
106,mumbai,Bilasrai Kashinath Gadia (A Level) Junior College
