city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
ahmedabad,/school/ahmedabad/swaminarayan-dham-international-school-randesan,https://yellowslate.com/school/ahmedabad/swaminarayan-dham-international-school-randesan,Swaminarayan Dham International School - Randesan ,0,188,0,+919513238818,"ICSE, State Board",2006,Boarding Schools,000 - 39,Co-Education,Randesan,
ahmedabad,/school/ahmedabad/global-mission-international-school-ahmedabad,https://yellowslate.com/school/ahmedabad/global-mission-international-school-ahmedabad,Global Mission International School - Ahmedabad ,0,181,0,+919513238818,"CBSE, State Board",1992,Boarding Schools,,Co-Education,Ahmedabad,
ahmedabad,/school/ahmedabad/sgvp-international-school-chharodi,https://yellowslate.com/school/ahmedabad/sgvp-international-school-chharodi,SGVP International School - Chharodi ,4.6,175,149,+919513238818,ICSE,,Boarding Schools,,Co-Education,Chharodi,
ahmedabad,/school/ahmedabad/khyati-world-school-gandhinagar,https://yellowslate.com/school/ahmedabad/khyati-world-school-gandhinagar,Khyati World School - Gandhinagar ,0,174,0,+919513238818,CBSE,2015,Boarding Schools,,Co-Education,Gandhinagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ahmedabad,/school/ahmedabad/mother-teresa-world-school-gandhinagar,https://yellowslate.com/school/ahmedabad/mother-teresa-world-school-gandhinagar,Mother Teresa World School - Gandhinagar ,4.3,153,21,+919513238818,ICSE,2012,Boarding Schools,000 - 45,Co-Education,Gandhinagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ahmedabad,/school/ahmedabad/green-valley-school-for-children-lekawada,https://yellowslate.com/school/ahmedabad/green-valley-school-for-children-lekawada,Green Valley School for Children - Lekawada ,5.0,152,138,+919513238818,CBSE,2020,Boarding Schools,000 - 40,Co-Education,Lekawada,
ahmedabad,/school/ahmedabad/jg-international-school-ahmedabad,https://yellowslate.com/school/ahmedabad/jg-international-school-ahmedabad,JG. International School - Ahmedabad ,4.4,76,116,+919513238818,CBSE,2002,Public Schools,Nursery - 12,Co-Education,Ahmedabad,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F175636280377513813768aff8335b42a1756362803.jpg&w=1200&q=75
ahmedabad,/school/ahmedabad/sattva-vikas-school-gandhinagar,https://yellowslate.com/school/ahmedabad/sattva-vikas-school-gandhinagar,Sattva Vikas School - Gandhinagar ,4.7,66,134,+919513238818,CBSE,2002,Public Schools,Nursery - 12,Co-Education,Gandhinagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ahmedabad,/school/ahmedabad/calorx-olive-international-school-gandhinagar,https://yellowslate.com/school/ahmedabad/calorx-olive-international-school-gandhinagar,Calorx Olive International School - Gandhinagar ,4.7,28,96,+919513238818,CBSE,2002,International Schools,Nursery - 12,,Gandhinagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ahmedabad,/school/ahmedabad/shree-swaminarayan-gurukul-ahmedabad,https://yellowslate.com/school/ahmedabad/shree-swaminarayan-gurukul-ahmedabad,Shree Swaminarayan Gurukul - Ahmedabad ,4.6,0,116,+919513238818,"CBSE, ICSE, State Board",2020,International Schools,1 - 10,,Ahmedabad,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ahmedabad,/school/ahmedabad/satyameva-jayate-international-school-ahmedabad,https://yellowslate.com/school/ahmedabad/satyameva-jayate-international-school-ahmedabad,Satyameva Jayate International School - Ahmedabad ,0,0,0,+919513238818,CBSE,2000,Boarding Schools,Nursery - 12,Co-Education,Ahmedabad,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSkating.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKarate.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75
ahmedabad,/school/ahmedabad/podar-international-school-ahmedabad-ahmedabad,https://yellowslate.com/school/ahmedabad/podar-international-school-ahmedabad-ahmedabad,"PODAR INTERNATIONAL SCHOOL, AHMEDABAD - Ahmedabad ",0,0,0,+919513238818,CBSE,2010,International Schools,Nursery - 12,Co-Education,Ahmedabad,
