city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
bhopal,/school/bhopal/the-sanskaar-valley-school-chandanpura,https://yellowslate.com/school/bhopal/the-sanskaar-valley-school-chandanpura,The Sanskaar Valley School - Chandanpura ,4.3,243,137,+919513238818,"ICSE, CIE",2006,Boarding Schools,2026-27,Co-Education,Chandanpura,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/arera-convent-higher-secondary-school-e-6arera-colony,https://yellowslate.com/school/bhopal/arera-convent-higher-secondary-school-e-6arera-colony,"Arera Convent Higher Secondary School - E-6,Arera Colony ",0,174,0,+919513238818,"State Board, CBSE",1991,Boarding Schools,2026-27,Co-Education,"E-6,Arera Colony",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/international-public-school-mandideep,https://yellowslate.com/school/bhopal/international-public-school-mandideep,International Public School - Mandideep ,4.3,166,140,+919513238818,CBSE,2004,Boarding Schools,2026-27,Co-Education,Mandideep,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
bhopal,/school/bhopal/delhi-public-school-bhopal,https://yellowslate.com/school/bhopal/delhi-public-school-bhopal,Delhi Public School - Bhopal ,0,152,0,+919513238818,CBSE,,Day Schools,100 - 121,Co-Education,Bhopal,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/st-joseph-international-school-for-excellence-taraisewaniya,https://yellowslate.com/school/bhopal/st-joseph-international-school-for-excellence-taraisewaniya,St. Joseph International School For Excellence - Taraisewaniya ,0,149,0,+919513238818,To be affiliated to ISC/ICSE,2017,Boarding Schools,000 - 47,Co-Education,Taraisewaniya,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/peoples-public-school-peoples-campusbhanpur,https://yellowslate.com/school/bhopal/peoples-public-school-peoples-campusbhanpur,"Peoples Public School - Peoples Campus,Bhanpur ",0,144,0,+919513238818,CBSE,2004,Boarding Schools,2026-27,Co-Education,"Peoples Campus,Bhanpur",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/raj-heights-the-global-school-mandideep,https://yellowslate.com/school/bhopal/raj-heights-the-global-school-mandideep,Raj Heights-The Global School - Mandideep ,3.0,129,2,+919513238818,CBSE,2008,Boarding Schools,000 - 21,Co-Education,The Global School - Mandideep,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
bhopal,/school/bhopal/orchids-international-school-bhopal,https://yellowslate.com/school/bhopal/orchids-international-school-bhopal,Orchids International School - Bhopal ,0,96,0,+919513238818,CBSE,2001,International Schools,Nursery - 10,Co-Education,Bhopal,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/wonder-kidz-bhopal,https://yellowslate.com/school/bhopal/wonder-kidz-bhopal,Wonder Kidz - Bhopal ,0,85,0,+919513238818,Montessori,,Play Schools,30-31,Co-Education,Bhopal,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
bhopal,/school/bhopal/sagar-public-school-bhopal,https://yellowslate.com/school/bhopal/sagar-public-school-bhopal,Sagar Public School - Bhopal ,4.3,1,131,+919513238818,CBSE,2014,Boarding Schools,Nursery - 12,,Bhopal,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBest-schools-in-Bhopal.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2F2.png&w=1200&q=75
