city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
chandigarh,/school/chandigarh/st-stephens-school-togan,https://yellowslate.com/school/chandigarh/st-stephens-school-togan,St. Stephens School - Togan ,3.6,181,57,+919513238818,CBSE,2001,Boarding Schools,000 - 70,Co-Education,Togan,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/guru-nanak-public-school-sector-36-dsector-36,https://yellowslate.com/school/chandigarh/guru-nanak-public-school-sector-36-dsector-36,"Guru Nanak Public School - Sector 36-D,Sector 36 ",0,178,0,+919513238818,CBSE,1974,Boarding Schools,800 - 34,Co-Education,"Sector 36-D,Sector 36",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/the-new-public-school-chandigarh,https://yellowslate.com/school/chandigarh/the-new-public-school-chandigarh,The New Public School - Chandigarh ,0,153,0,+919513238818,CBSE,1960,Boarding Schools,2026-27,Co-Education,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/st-josephs-senior-secondary-school-chandigarh,https://yellowslate.com/school/chandigarh/st-josephs-senior-secondary-school-chandigarh,St. Josephs Senior Secondary School - Chandigarh ,0,148,0,+919513238818,CBSE,1981,Boarding Schools,356 - 61,Co-Education,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/ikidz-preschool-chandigarh,https://yellowslate.com/school/chandigarh/ikidz-preschool-chandigarh,Ikidz Preschool - Chandigarh ,5.0,0,31,+919513238818,Montessori,,Play Schools,2026-27,,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/amity-international-school-sahibzada-ajit-singh-nagar,https://yellowslate.com/school/chandigarh/amity-international-school-sahibzada-ajit-singh-nagar,Amity International School - Sahibzada Ajit Singh Nagar ,4.4,0,94,+919513238818,CBSE,2020,Day Schools,Nursery - 12,,Sahibzada Ajit Singh Nagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/xaviers-senior-secondary-school-chandigarh,https://yellowslate.com/school/chandigarh/xaviers-senior-secondary-school-chandigarh,Xavier's Senior Secondary School - Chandigarh ,3.7,0,121,+919513238818,ICSE,1860,Day Schools,Nursery - 12,,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
chandigarh,/school/chandigarh/tender-heart-high-school-chandigarh,https://yellowslate.com/school/chandigarh/tender-heart-high-school-chandigarh,Tender Heart High School - Chandigarh ,4.2,0,66,+919513238818,ICSE,1973,Day Schools,Nursery - 12,,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/c-l-aggarwal-dav-model-school-chandigarh,https://yellowslate.com/school/chandigarh/c-l-aggarwal-dav-model-school-chandigarh,C L Aggarwal D.A.V Model School - Chandigarh ,4.3,0,17,+919513238818,ICSE,1955,Day Schools,Nursery - 12,,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/kundan-international-school-chandigarh,https://yellowslate.com/school/chandigarh/kundan-international-school-chandigarh,Kundan International School - Chandigarh ,0,0,0,+919513238818,CBSE,2007,Day Schools,Nursery - 12,,Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/smart-wonders-school-sahibzada-ajit-singh-nagar,https://yellowslate.com/school/chandigarh/smart-wonders-school-sahibzada-ajit-singh-nagar,Smart Wonders School - Sahibzada Ajit Singh Nagar ,4.9,0,150,+919513238818,CBSE,2010,Day Schools,Nursery - 12,,Sahibzada Ajit Singh Nagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
chandigarh,/school/chandigarh/mount-carmel-school-sector-47b-chandigarh,https://yellowslate.com/school/chandigarh/mount-carmel-school-sector-47b-chandigarh,Mount Carmel School- Sector 47B - Chandigarh ,4.6,0,150,+919513238818,CBSE,1987,Public Schools,Nursery - 12,,Sector 47B - Chandigarh,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FBulk-1-Bulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F07%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-18.jpg&w=1200&q=75
