city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
coimbatore,/school/coimbatore/bridgewoods-international-school-kannampalayam,https://yellowslate.com/school/coimbatore/bridgewoods-international-school-kannampalayam,Bridgewoods International School - Kannampalayam ,4.8,3000,55,+919513238818,"CBSE, IGCSE",2024,International Schools,Nursery - 7,Co-Education,Kannampalayam,https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/17373617131601093080678e0931c96691737361714.avif | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17380523791456210556798931b932081738052380.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1738052379373171566798931b5de4c1738052379.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F173805237649308138967989318675201738052376.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1738052376263719659679893181ebcd1738052376.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17380523321008547056679892ec4ee401738052332.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1737361736167393686678e09482ae971737361736.avif&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2Fys-blog%2F3a399c0f-90a3-4bb3-8020-160b8cb198ea-1773319981798.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2Fys-blog%2F689f488c-e830-4e26-8848-eae10c4636db-1768887088252.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F06%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-11-2.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2Fcoimbatore-international-school.jpg&w=1200&q=75
coimbatore,/school/coimbatore/vividh-international-residential-school-panappalayampudur,https://yellowslate.com/school/coimbatore/vividh-international-residential-school-panappalayampudur,Vividh International Residential School - PanappalayamPudur ,0,218,0,+919513238818,ICSE,,Boarding Schools,2026-27,Co-Education,PanappalayamPudur,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/vidyaa-vikas-international-school-karamadai-post,https://yellowslate.com/school/coimbatore/vidyaa-vikas-international-school-karamadai-post,VIDYAA VIKAS INTERNATIONAL SCHOOL - Karamadai Post ,0,217,0,+919513238818,CBSE,2012,Boarding Schools,2026-27,Co-Education,Karamadai Post,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/nava-bharath-national-school-annur,https://yellowslate.com/school/coimbatore/nava-bharath-national-school-annur,NAVA BHARATH NATIONAL SCHOOL - ANNUR ,0,210,0,+919513238818,CBSE,2007,Boarding Schools,2026-27,Co-Education,ANNUR,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/s-j-n-international-school-village-panchayat-kallar-mettupalayam,https://yellowslate.com/school/coimbatore/s-j-n-international-school-village-panchayat-kallar-mettupalayam,S J N INTERNATIONAL SCHOOL - VILLAGE PANCHAYAT KALLAR METTUPALAYAM ,0,204,0,+919513238818,CBSE,2011,Boarding Schools,000 - 420,Co-Education,VILLAGE PANCHAYAT KALLAR METTUPALAYAM,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/kovai-vidyashram-kovilpalayam,https://yellowslate.com/school/coimbatore/kovai-vidyashram-kovilpalayam,KOVAI VIDYASHRAM - Kovilpalayam ,0,195,0,+919513238818,CBSE,2014,Boarding Schools,2026-27,Co-Education,Kovilpalayam,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1757327206128196198268beaf660b4a81757327206.png&w=1200&q=75
coimbatore,/school/coimbatore/isha-home-school-velliangiri-foothills,https://yellowslate.com/school/coimbatore/isha-home-school-velliangiri-foothills,Isha Home School - Velliangiri Foothills ,0,185,0,+919513238818,"ICSE, IGCSE",2005,Boarding Schools,2026-27,Co-Education,Velliangiri Foothills,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F175441668017884161616892462831a041754416680.jpg&w=1200&q=75
coimbatore,/school/coimbatore/sainik-school-andigoundanur,https://yellowslate.com/school/coimbatore/sainik-school-andigoundanur,Sainik School - Andigoundanur ,0,182,0,+919513238818,CBSE,1962,Boarding Schools,2026-27,Co-Education,Andigoundanur,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/the-united-public-school-periyanaikenpalayam,https://yellowslate.com/school/coimbatore/the-united-public-school-periyanaikenpalayam,THE UNITED PUBLIC SCHOOL - PERIYANAIKENPALAYAM ,0,174,0,+919513238818,CBSE,2018,Boarding Schools,2026-27,Co-Education,PERIYANAIKENPALAYAM,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75
coimbatore,/school/coimbatore/rathinam-international-public-school-near-cockraco,https://yellowslate.com/school/coimbatore/rathinam-international-public-school-near-cockraco,RATHINAM INTERNATIONAL PUBLIC SCHOOL - Near CockRaCo ,0,170,0,+919513238818,CBSE,2011,Boarding Schools,2026-27,Co-Education,Near CockRaCo,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FWER.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F03%2FCoimbatore.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fschools%2F17695978501381kyewqlo8a7.blob&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1730973030516241845672c8d667b7af1730973031.jpeg&w=1200&q=75
