city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
dehradun,/school/dehradun/the-doon-school-dehradun,https://yellowslate.com/school/dehradun/the-doon-school-dehradun,The Doon School - Dehradun ,4.3,266,150,+919513238818,"IB, ICSE, IGCSE",1935,Boarding Schools,7 - 12,Co-Education,Dehradun,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1725256546151053836566d55362576e61725256546.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
dehradun,/school/dehradun/st-judes-school-pnb-viharmajra,https://yellowslate.com/school/dehradun/st-judes-school-pnb-viharmajra,"St. Judes School - PNB Vihar,Majra ",4.2,260,129,+919513238818,ICSE,1994,Boarding Schools,2026-27,Co-Education,"PNB Vihar,Majra",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1725254739154919020666d54c53aa1df1725254740.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75
dehradun,/school/dehradun/doon-international-school-riverside-campus-dehradun,https://yellowslate.com/school/dehradun/doon-international-school-riverside-campus-dehradun,Doon International School Riverside Campus - Dehradun ,4.2,246,81,+919513238818,"CBSE, IGCSE",2015,Boarding Schools,2026-27,Co-Education,Dehradun,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1726139688159051184766e2cd28f34161726139689.jpg&w=1200&q=75
dehradun,/school/dehradun/doon-international-school-dalanwala,https://yellowslate.com/school/dehradun/doon-international-school-dalanwala,Doon International School - Dalanwala ,0,235,0,+919513238818,CBSE,1993,Boarding Schools,2026-27,Co-Education,Dalanwala,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
dehradun,/school/dehradun/shri-ram-centennial-school-sherpur,https://yellowslate.com/school/dehradun/shri-ram-centennial-school-sherpur,Shri Ram Centennial School - Sherpur ,4.7,231,58,+919513238818,ICSE,2014,Boarding Schools,2026-27,Co-Education,Sherpur,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75
dehradun,/school/dehradun/dehradun-hills-academy-doiwala,https://yellowslate.com/school/dehradun/dehradun-hills-academy-doiwala,Dehradun Hills Academy - Doiwala ,0,218,0,+919513238818,CBSE,1990,Boarding Schools,2026-27,Co-Education,Doiwala,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75
dehradun,/school/dehradun/welham-girls-school-dalanwala,https://yellowslate.com/school/dehradun/welham-girls-school-dalanwala,Welham Girls School - Dalanwala ,4.6,218,64,+919513238818,ICSE,1957,Boarding Schools,000 - 850,Girls,Dalanwala,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1725256601158884576766d553999fe5f1725256602.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
dehradun,/school/dehradun/kasiga-school-dehradun,https://yellowslate.com/school/dehradun/kasiga-school-dehradun,Kasiga School - Dehradun ,3.9,215,85,+919513238818,CBSE,2007,Boarding Schools,4 - 12,Co-Education,Dehradun,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F172613967688060178466e2cd1c776961726139676.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75
dehradun,/school/dehradun/viverly-public-school-dobhalwalachukkuwala,https://yellowslate.com/school/dehradun/viverly-public-school-dobhalwalachukkuwala,"Viverly Public School - Dobhalwala,Chukkuwala ",0,210,0,+919513238818,CBSE,1995,Boarding Schools,2026-27,Co-Education,"Dobhalwala,Chukkuwala",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75
dehradun,/school/dehradun/hopetown-girls-school-selakui,https://yellowslate.com/school/dehradun/hopetown-girls-school-selakui,Hopetown Girls School - Selakui ,0,209,0,+919513238818,"ICSE, IGCSE",1999,Boarding Schools,2026-27,Girls,Selakui,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F09%2FBulk-1-Bulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
