slug,url,city,name,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/ahmedabad/swaminarayan-dham-international-school-randesan,https://yellowslate.com/school/ahmedabad/swaminarayan-dham-international-school-randesan,ahmedabad,Swaminarayan Dham International School - Randesan ,0,188,0,+919513238818,Randesan,"ICSE, State Board",2006,Boarding Schools,000 - 39,Co-Education,,,
/school/ahmedabad/global-mission-international-school-ahmedabad,https://yellowslate.com/school/ahmedabad/global-mission-international-school-ahmedabad,ahmedabad,Global Mission International School - Ahmedabad ,0,181,0,+919513238818,Ahmedabad,"CBSE, State Board",1992,Boarding Schools,,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1750845342785365453685bc79ecf3b91750845343.jpg&w=1200&q=75
/school/ahmedabad/sgvp-international-school-chharodi,https://yellowslate.com/school/ahmedabad/sgvp-international-school-chharodi,ahmedabad,SGVP International School - Chharodi ,4.6,175,149,+919513238818,Chharodi,ICSE,,Boarding Schools,,Co-Education,,,
/school/ahmedabad/khyati-world-school-gandhinagar,https://yellowslate.com/school/ahmedabad/khyati-world-school-gandhinagar,ahmedabad,Khyati World School - Gandhinagar ,0,174,0,+919513238818,Gandhinagar,CBSE,2015,Boarding Schools,,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/ahmedabad/mother-teresa-world-school-gandhinagar,https://yellowslate.com/school/ahmedabad/mother-teresa-world-school-gandhinagar,ahmedabad,Mother Teresa World School - Gandhinagar ,4.3,153,21,+919513238818,Gandhinagar,ICSE,2012,Boarding Schools,000 - 45,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/ahmedabad/green-valley-school-for-children-lekawada,https://yellowslate.com/school/ahmedabad/green-valley-school-for-children-lekawada,ahmedabad,Green Valley School for Children - Lekawada ,5.0,152,138,+919513238818,Lekawada,CBSE,2020,Boarding Schools,000 - 40,Co-Education,,,
/school/ahmedabad/jg-international-school-ahmedabad,https://yellowslate.com/school/ahmedabad/jg-international-school-ahmedabad,ahmedabad,JG. International School - Ahmedabad ,4.4,76,116,+919513238818,Ahmedabad,CBSE,2002,Public Schools,Nursery - 12,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/ahmedabad/sattva-vikas-school-gandhinagar,https://yellowslate.com/school/ahmedabad/sattva-vikas-school-gandhinagar,ahmedabad,Sattva Vikas School - Gandhinagar ,4.7,66,134,+919513238818,Gandhinagar,CBSE,2002,Public Schools,Nursery - 12,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/ahmedabad/calorx-olive-international-school-gandhinagar,https://yellowslate.com/school/ahmedabad/calorx-olive-international-school-gandhinagar,ahmedabad,Calorx Olive International School - Gandhinagar ,4.7,28,96,+919513238818,Gandhinagar,CBSE,2002,International Schools,Nursery - 12,,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/ahmedabad/shree-swaminarayan-gurukul-ahmedabad,https://yellowslate.com/school/ahmedabad/shree-swaminarayan-gurukul-ahmedabad,ahmedabad,Shree Swaminarayan Gurukul - Ahmedabad ,4.6,0,116,+919513238818,Ahmedabad,"CBSE, ICSE, State Board",2020,International Schools,1 - 10,,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
