city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
ghaziabad,/school/ghaziabad/kr-mangalam-world-school-vaishali,https://yellowslate.com/school/ghaziabad/kr-mangalam-world-school-vaishali,K.R. Mangalam World School - Vaishali ,1.5,756,11,+919513238818,CBSE,2012,Day Schools,600 - 166,Co-Education,Vaishali,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/amity-international-school-sector-1-vasundhara,https://yellowslate.com/school/ghaziabad/amity-international-school-sector-1-vasundhara,"Amity International School - Sector 1,Vasundhara ",4.9,750,111,+919513238818,CBSE,2005,Day Schools,300 - 141,Co-Education,"Sector 1,Vasundhara",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75
ghaziabad,/school/ghaziabad/indus-valley-public-school-khora-colony-sector-62a,https://yellowslate.com/school/ghaziabad/indus-valley-public-school-khora-colony-sector-62a,"Indus Valley Public School - Khora Colony,Sector 62A ",5.0,678,5,+919513238818,CBSE,2002,Day Schools,000 - 90,Co-Education,"Khora Colony,Sector 62A",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/st-joseph-academy-marium-nagar-ghukna,https://yellowslate.com/school/ghaziabad/st-joseph-academy-marium-nagar-ghukna,"St. Joseph Academy - Marium Nagar,Ghukna ",4.2,629,123,+919513238818,ICSE,,Day Schools,000 - 144,Co-Education,"Marium Nagar,Ghukna",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75
ghaziabad,/school/ghaziabad/allen-house-public-school-sector-2avasundhara,https://yellowslate.com/school/ghaziabad/allen-house-public-school-sector-2avasundhara,"Allen House Public School - Sector 2A,Vasundhara ",4.4,626,74,+919513238818,CBSE,2014,Day Schools,Nursery - 12,Co-Education,"Sector 2A,Vasundhara",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1746442376290409276818988834b7c1746442376.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSwimming.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/swami-vivekanand-saraswati-vidyamandir-sector-3-rajendra-nagar,https://yellowslate.com/school/ghaziabad/swami-vivekanand-saraswati-vidyamandir-sector-3-rajendra-nagar,"Swami Vivekanand Saraswati Vidyamandir - Sector 3,Rajendra Nagar ",4.2,623,5,+919513238818,CBSE,1983,Day Schools,2026-27,Co-Education,"Sector 3,Rajendra Nagar",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/platinum-valley-international-school-chander-nagarsurya-nagar,https://yellowslate.com/school/ghaziabad/platinum-valley-international-school-chander-nagarsurya-nagar,"Platinum valley International School - Chander Nagar,Surya Nagar ",3.7,621,6,+919513238818,CBSE,1983,Public Schools,Nursery - 12,Co-Education,"Chander Nagar,Surya Nagar",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSwimming.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FHockey.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FChess.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBoxing.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/sun-valley-international-school-vaishali,https://yellowslate.com/school/ghaziabad/sun-valley-international-school-vaishali,SUN VALLEY INTERNATIONAL SCHOOL - Vaishali ,3.6,614,5,+919513238818,CBSE,2003,Day Schools,2026-27,Co-Education,Vaishali,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
ghaziabad,/school/ghaziabad/s-g-public-school-sector-15-vasundhara,https://yellowslate.com/school/ghaziabad/s-g-public-school-sector-15-vasundhara,"S G PUBLIC SCHOOL - Sector 15,Vasundhara ",4.2,605,90,+919513238818,CBSE,1992,Day Schools,000 - 36,Co-Education,"Sector 15,Vasundhara",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75
ghaziabad,/school/ghaziabad/dehradun-public-school-sector-23-sanjay-nagar,https://yellowslate.com/school/ghaziabad/dehradun-public-school-sector-23-sanjay-nagar,"Dehradun Public School - Sector 23,Sanjay Nagar ",5.0,604,5,+919513238818,CBSE,1998,Day Schools,2026-27,Co-Education,"Sector 23,Sanjay Nagar",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F33-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F172691186417669868066ee95785a4fb1726911864.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
