city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
jaipur,/school/jaipur/paras-international-english-school-bagru,https://yellowslate.com/school/jaipur/paras-international-english-school-bagru,Paras International English School - Bagru ,0,238,0,+919513238818,CBSE,2009,Day Schools,2026-27,Co-Education,Bagru,
jaipur,/school/jaipur/the-rajasthan-school-kotputli,https://yellowslate.com/school/jaipur/the-rajasthan-school-kotputli,THE RAJASTHAN SCHOOL - KOTPUTLI ,0,211,0,+919513238818,CBSE,2005,Boarding Schools,2026-27,Co-Education,KOTPUTLI,
jaipur,/school/jaipur/cambridge-court-world-school-mansarovar,https://yellowslate.com/school/jaipur/cambridge-court-world-school-mansarovar,Cambridge Court World School - Mansarovar ,0,199,0,+919513238818,CBSE,2016,Day Schools,2026-27,Co-Education,Mansarovar,
jaipur,/school/jaipur/jayshree-periwal-high-school-chitrakoot,https://yellowslate.com/school/jaipur/jayshree-periwal-high-school-chitrakoot,Jayshree Periwal High School - Chitrakoot ,4.9,184,150,+919513238818,CBSE,2002,Boarding Schools,000 - 131,Co-Education,Chitrakoot,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
jaipur,/school/jaipur/neerja-modi-school-shanthi-nagarmansarovar,https://yellowslate.com/school/jaipur/neerja-modi-school-shanthi-nagarmansarovar,"Neerja Modi School - Shanthi Nagar,Mansarovar ",0,178,0,+919513238818,"IGCSE, IB",2001,Boarding Schools,2026-27,Co-Education,"Shanthi Nagar,Mansarovar",
jaipur,/school/jaipur/srn-international-school-ramnagariya,https://yellowslate.com/school/jaipur/srn-international-school-ramnagariya,SRN International School - Ramnagariya ,4.8,163,150,+919513238818,CBSE,2002,Boarding Schools,2026-27,Co-Education,Ramnagariya,
jaipur,/school/jaipur/vivek-techno-school-nagaur,https://yellowslate.com/school/jaipur/vivek-techno-school-nagaur,VIVEK TECHNO SCHOOL - Nagaur ,0,162,0,+919513238818,CBSE,2015,Boarding Schools,000 - 38,Co-Education,Nagaur,
jaipur,/school/jaipur/neerja-modi-school-mansarovar,https://yellowslate.com/school/jaipur/neerja-modi-school-mansarovar,Neerja Modi School - Mansarovar ,3.5,147,154,+919513238818,CBSE,2001,Boarding Schools,Nursery - 12,Co-Education,Mansarovar,
jaipur,/school/jaipur/discovery-international-school-pragpura,https://yellowslate.com/school/jaipur/discovery-international-school-pragpura,Discovery International School - Pragpura ,0,118,0,+919513238818,CBSE,2012,Boarding Schools,2026-27,Co-Education,Pragpura,
jaipur,/school/jaipur/jayshree-periwal-international-school-bhankrota,https://yellowslate.com/school/jaipur/jayshree-periwal-international-school-bhankrota,Jayshree Periwal International School - Bhankrota ,4.4,88,150,+919513238818,"IB, IGCSE",2011,International Schools,Nursery - 12,Co-Education,Bhankrota,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
jaipur,/school/jaipur/orchids-international-school-pragpura,https://yellowslate.com/school/jaipur/orchids-international-school-pragpura,Orchids International School - Pragpura ,0,82,0,+919513238818,CBSE,2001,International Schools,Nursery - 10,Co-Education,Pragpura,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
