city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
lucknow,/school/lucknow/modern-school-lucknow,https://yellowslate.com/school/lucknow/modern-school-lucknow,Modern school - Lucknow ,0,1058,0,+919513238818,CBSE,2013,Public Schools,Nursery - 12,Co-Education,Lucknow,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75
lucknow,/school/lucknow/the-lucknow-public-collegiate-ruchi-khand-1sharda-nagar,https://yellowslate.com/school/lucknow/the-lucknow-public-collegiate-ruchi-khand-1sharda-nagar,"The Lucknow Public Collegiate - Ruchi Khand 1,Sharda Nagar ",0,190,0,+919513238818,CBSE,1997,Boarding Schools,2026-27,Co-Education,"Ruchi Khand 1,Sharda Nagar",
lucknow,/school/lucknow/jagran-public-school-viraj-khandgomti-nagar,https://yellowslate.com/school/lucknow/jagran-public-school-viraj-khandgomti-nagar,"Jagran Public School - Viraj Khand,Gomti Nagar ",0,178,0,+919513238818,CBSE,2007,Boarding Schools,500 - 49,Co-Education,"Viraj Khand,Gomti Nagar",
lucknow,/school/lucknow/la-martiniere-college-martin-purva,https://yellowslate.com/school/lucknow/la-martiniere-college-martin-purva,La Martiniere College - Martin Purva ,0,173,0,+919513238818,ICSE,1845,Boarding Schools,2026-27,Boys,Martin Purva,
lucknow,/school/lucknow/la-martiniere-girls-college-hazratganj,https://yellowslate.com/school/lucknow/la-martiniere-girls-college-hazratganj,La martiniere Girls College - Hazratganj ,0,169,0,+919513238818,ICSE,,Boarding Schools,2026-27,Girls,Hazratganj,
lucknow,/school/lucknow/g-d-goenka-public-school-muzaffar-nagar-ghusval,https://yellowslate.com/school/lucknow/g-d-goenka-public-school-muzaffar-nagar-ghusval,G D Goenka Public School - Muzaffar Nagar Ghusval ,0,164,0,+919513238818,"CBSE, IGCSE",2011,Boarding Schools,400 - 122,Co-Education,Muzaffar Nagar Ghusval,
lucknow,/school/lucknow/the-avadh-school-gomti-nagar,https://yellowslate.com/school/lucknow/the-avadh-school-gomti-nagar,THE AVADH SCHOOL - Gomti Nagar ,0,156,0,+919513238818,CBSE,1999,Boarding Schools,2026-27,Co-Education,Gomti Nagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F17332471301966443130674f409a891f21733247131.jpg&w=1200&q=75
lucknow,/school/lucknow/buddha-public-school-hemariya,https://yellowslate.com/school/lucknow/buddha-public-school-hemariya,Buddha Public School - Hemariya ,0,138,0,+919513238818,CBSE,2000,Boarding Schools,2026-27,Co-Education,Hemariya,
lucknow,/school/lucknow/shri-ramswaroop-memorial-public-school-anora-kala,https://yellowslate.com/school/lucknow/shri-ramswaroop-memorial-public-school-anora-kala,Shri Ramswaroop Memorial Public School - Anora Kala ,0,115,0,+919513238818,CBSE,2005,Boarding Schools,2026-27,Co-Education,Anora Kala,
lucknow,/school/lucknow/the-atoz-classes-gomti-nagar,https://yellowslate.com/school/lucknow/the-atoz-classes-gomti-nagar,The Atoz Classes - Gomti Nagar ,5.0,21,2,+919513238818,"CBSE, State Board",2022,Other Schools,Nursery - 12,Co-Education,Gomti Nagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1733248088474506040674f445853f3a1733248088.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17332480751357690648674f444bba6b21733248076.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1733248036319880598674f44242ad611733248036.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17332480261430778712674f441a067a31733248026.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17332480091202835298674f4409e84d91733248010.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fteam%2Fmember_thumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fteam%2F17333006051559709556750117dd14d31733300606.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fteam%2F17332484051266754950674f4595bcea81733248406.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
lucknow,/school/lucknow/the-millennium-school-bargadi-magath,https://yellowslate.com/school/lucknow/the-millennium-school-bargadi-magath,The Millennium School - Bargadi Magath ,4.5,0,91,+919513238818,CBSE,2015,Boarding Schools,Nursery - 12,,Bargadi Magath,
lucknow,/school/lucknow/vishwanath-academy-lucknow,https://yellowslate.com/school/lucknow/vishwanath-academy-lucknow,Vishwanath Academy - Lucknow ,0,0,0,+919513238818,CBSE,,Public Schools,Nursery - 12,,Lucknow,
