city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
mysore,/school/mysore/sri-ramakrishna-vidyashala-yadavagiri,https://yellowslate.com/school/mysore/sri-ramakrishna-vidyashala-yadavagiri,Sri Ramakrishna Vidyashala - Yadavagiri ,0,235,0,+919513238818,CBSE,1953,Boarding Schools,000 - 190,Boys,Yadavagiri,
mysore,/school/mysore/st-thomas-central-school-vishweshwaranagar,https://yellowslate.com/school/mysore/st-thomas-central-school-vishweshwaranagar,St Thomas Central School - Vishweshwaranagar ,0,195,0,+919513238818,CBSE,1994,Boarding Schools,000 - 36,Co-Education,Vishweshwaranagar,
mysore,/school/mysore/de-paul-international-residential-school-avverahalli,https://yellowslate.com/school/mysore/de-paul-international-residential-school-avverahalli,De Paul International Residential School - Avverahalli ,0,192,0,+919513238818,"ICSE, IGCSE",2002,Boarding Schools,000 - 209,Co-Education,Avverahalli,
mysore,/school/mysore/pramati-hill-view-academy-kuvempunagar,https://yellowslate.com/school/mysore/pramati-hill-view-academy-kuvempunagar,Pramati Hill View Academy - Kuvempunagar ,4.1,162,68,+919513238818,"CBSE, State Board",2004,Boarding Schools,500 - 61,Co-Education,Kuvempunagar,
mysore,/school/mysore/st-josephaposs-public-school-mysuru,https://yellowslate.com/school/mysore/st-josephaposs-public-school-mysuru,St. Joseph&apos;s Public School - Mysuru ,0,159,0,+919513238818,CBSE,2011,Boarding Schools,000 - 30,Co-Education,Mysuru,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
mysore,/school/mysore/jnanasarovara-international-residential-school-mysuru,https://yellowslate.com/school/mysore/jnanasarovara-international-residential-school-mysuru,Jnanasarovara International Residential School - Mysuru ,0,155,0,+919513238818,"ICSE, State Board",2002,Boarding Schools,000 - 162,Co-Education,Mysuru,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
mysore,/school/mysore/parivarthana-school-pu-college-srirangapatna,https://yellowslate.com/school/mysore/parivarthana-school-pu-college-srirangapatna,Parivarthana School &amp; PU College - Srirangapatna ,0,144,0,+919513238818,CBSE,2015,Boarding Schools,,Co-Education,Srirangapatna,
mysore,/school/mysore/supreme-public-school-ca-kanakadasa-nagar,https://yellowslate.com/school/mysore/supreme-public-school-ca-kanakadasa-nagar,SUPREME PUBLIC SCHOOL CA - Kanakadasa Nagar ,0,137,0,+919513238818,CBSE,2008,Boarding Schools,000 - 45,Co-Education,Kanakadasa Nagar,
mysore,/school/mysore/podar-international-school-mysuru,https://yellowslate.com/school/mysore/podar-international-school-mysuru,PODAR INTERNATIONAL SCHOOL - Mysuru ,0,0,0,+919513238818,CBSE,2014,International Schools,Nursery - 10,Co-Education,Mysuru,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
mysore,/school/mysore/kautilya-vidyalaya-kanakadasa-nagar,https://yellowslate.com/school/mysore/kautilya-vidyalaya-kanakadasa-nagar,Kautilya Vidyalaya - Kanakadasa Nagar ,4.6,0,150,+919513238818,CBSE,2007,Public Schools,Nursery - 10,Co-Education,Kanakadasa Nagar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
mysore,/school/mysore/gnanodaya-public-school-srirangapatna,https://yellowslate.com/school/mysore/gnanodaya-public-school-srirangapatna,GNANODAYA PUBLIC SCHOOL - Srirangapatna ,0,0,0,+919513238818,ICSE,,Boarding Schools,Nursery - 10,,Srirangapatna,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
