city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
nagpur,/school/nagpur/bhonsala-military-school-nagpur,https://yellowslate.com/school/nagpur/bhonsala-military-school-nagpur,Bhonsala Military School - Nagpur ,3.7,200,69,+919513238818,State Board,1996,Boarding Schools,000 - 200,Boys,Nagpur,
nagpur,/school/nagpur/shree-swaminarayan-gurukul-international-school-kanmanike,https://yellowslate.com/school/nagpur/shree-swaminarayan-gurukul-international-school-kanmanike,Shree Swaminarayan Gurukul International School - Kanmanike ,0,147,0,+919513238818,CBSE,,Boarding Schools,000 - 112,Boys,Kanmanike,
nagpur,/school/nagpur/edify-school-nagpur-nagpur,https://yellowslate.com/school/nagpur/edify-school-nagpur-nagpur,Edify School Nagpur - Nagpur ,0,0,0,+919513238818,"Cambridge IGCSE, CBSE, IB",2008,Day Schools,Nursery - 9,Co-Education,Nagpur,
nagpur,/school/nagpur/orchids-the-international-school-besa-road-nagpur-besa-pipla-rd,https://yellowslate.com/school/nagpur/orchids-the-international-school-besa-road-nagpur-besa-pipla-rd,"Orchids The International School Besa Road, Nagpur - Besa-Pipla Rd ",0,0,0,+919513238818,CBSE,,,Nursery - 12,Co-Education,Besa-Pipla Rd,
nagpur,/school/nagpur/orchids-the-international-school-koradi-road-nagpur-koradi-rd,https://yellowslate.com/school/nagpur/orchids-the-international-school-koradi-road-nagpur-koradi-rd,Orchids The International School Koradi Road Nagpur - Koradi Rd ,0,0,0,+919513238818,CBSE,,,Nursery - 12,Co-Education,Koradi Rd,
nagpur,/school/nagpur/podar-international-school-besa-nagpur-nagpur,https://yellowslate.com/school/nagpur/podar-international-school-besa-nagpur-nagpur,Podar International School Besa Nagpur - Nagpur ,0,0,0,+919513238818,CBSE,2011,"Day Schools, International Schools",Nursery - 12,Co-Education,Nagpur,
nagpur,/school/nagpur/podar-international-school-katol-road--nagpur,https://yellowslate.com/school/nagpur/podar-international-school-katol-road--nagpur,Podar international school katol road - Nagpur ,0,0,0,+919513238818,CBSE,2015,International Schools,Nursery - 10,Co-Education,Nagpur,
nagpur,/school/nagpur/podar-international-school-koradi--nagpur,https://yellowslate.com/school/nagpur/podar-international-school-koradi--nagpur,Podar international school koradi - Nagpur ,0,0,0,+919513238818,CBSE,2011,International Schools,Nursery - 10,Co-Education,Nagpur,
nagpur,/school/nagpur/s-n-sahu-nagpur,https://yellowslate.com/school/nagpur/s-n-sahu-nagpur,S N sahu - Nagpur ,0,0,0,+919513238818,CBSE,2012,Day Schools,1 - 12,Co-Education,Nagpur,
nagpur,/school/nagpur/podar-international-school-binaki-nagpur--nagpur,https://yellowslate.com/school/nagpur/podar-international-school-binaki-nagpur--nagpur,Podar International School Binaki Nagpur - Nagpur ,0,0,0,+919513238818,CBSE,2025,Public Schools,Nursery - 12,Co-Education,Nagpur,
nagpur,/school/nagpur/podar-international-schoolbhandara--nagpur,https://yellowslate.com/school/nagpur/podar-international-schoolbhandara--nagpur,Podar International School-Bhandara - Nagpur ,0,0,0,+919513238818,CBSE,2012,International Schools,Nursery - 10,Co-Education,Bhandara - Nagpur,
nagpur,/school/nagpur/mdn-future-school-lakhani-nagpur,https://yellowslate.com/school/nagpur/mdn-future-school-lakhani-nagpur,MDN FUTURE SCHOOL LAKHANI - Nagpur ,0,0,0,+919513238818,CBSE,2003,Day Schools,Nursery - 12,Co-Education,Nagpur,
