city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
rajkot,/school/rajkot/gangotri-international-school-gondal,https://yellowslate.com/school/rajkot/gangotri-international-school-gondal,Gangotri International School - Gondal ,4.7,200,152,+919513238818,"CBSE, State Board",2018,Boarding Schools,2-3,Co-Education,Gondal,
rajkot,/school/rajkot/the-rajkumar-college-sadar,https://yellowslate.com/school/rajkot/the-rajkumar-college-sadar,The Rajkumar College - Sadar ,0,173,0,+919513238818,CBSE,1868,Boarding Schools,,Co-Education,Sadar,
rajkot,/school/rajkot/krishna-international-school-tramba,https://yellowslate.com/school/rajkot/krishna-international-school-tramba,KRISHNA INTERNATIONAL SCHOOL - Tramba ,0,162,0,+919513238818,CBSE,2012,Boarding Schools,000 - 36,Co-Education,Tramba,
rajkot,/school/rajkot/shree-swaminarayan-gurukul-international-school-bypass-morbi,https://yellowslate.com/school/rajkot/shree-swaminarayan-gurukul-international-school-bypass-morbi,Shree Swaminarayan Gurukul International School - BYPASS MORBI ,0,151,0,+919513238818,State Board,2013,Boarding Schools,000 - 71,Boys,BYPASS MORBI,
rajkot,/school/rajkot/nalanda-vidyalaya-virpar,https://yellowslate.com/school/rajkot/nalanda-vidyalaya-virpar,NALANDA VIDYALAYA - Virpar ,0,126,0,+919513238818,"CBSE, State Board",2004,Boarding Schools,000 - 30,Co-Education,Virpar,
rajkot,/school/rajkot/sarvodaya-school-gondal,https://yellowslate.com/school/rajkot/sarvodaya-school-gondal,Sarvodaya school - Gondal ,4.1,0,45,+919513238818,"CBSE, Other Boards",1995,Day Schools,Nursery - 12,Co-Education,Gondal,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
rajkot,/school/rajkot/podar-international-school-haripar-pal,https://yellowslate.com/school/rajkot/podar-international-school-haripar-pal,Podar International School - Haripar Pal ,4.2,0,60,+919513238818,CBSE,1927,Day Schools,Nursery - 12,,Haripar Pal,
rajkot,/school/rajkot/delhi-world-public-school-haripar-pal,https://yellowslate.com/school/rajkot/delhi-world-public-school-haripar-pal,Delhi World Public School - Haripar Pal ,4.8,0,150,+919513238818,CBSE,2003,Day Schools,Nursery - 12,,Haripar Pal,
rajkot,/school/rajkot/podar-international-school--haripar-pal,https://yellowslate.com/school/rajkot/podar-international-school--haripar-pal,"Podar International School, - Haripar Pal ",0,0,0,+919513238818,CBSE,2013,International Schools,Nursery - 12,Co-Education,Haripar Pal,
rajkot,/school/rajkot/new-era-school-gulab-nagar,https://yellowslate.com/school/rajkot/new-era-school-gulab-nagar,New Era School - Gulab Nagar ,4.0,0,65,+919513238818,CBSE,2000,Day Schools,Nursery - 12,,Gulab Nagar,
rajkot,/school/rajkot/nirmala-convent-school-kailash-nagar,https://yellowslate.com/school/rajkot/nirmala-convent-school-kailash-nagar,Nirmala Convent School - Kailash Nagar ,4.6,0,140,+919513238818,CBSE,1963,Day Schools,Nursery - 12,,Kailash Nagar,
rajkot,/school/rajkot/kendriya-vidyalaya-ram-park,https://yellowslate.com/school/rajkot/kendriya-vidyalaya-ram-park,Kendriya Vidyalaya - Ram Park ,4.1,0,75,+919513238818,CBSE,1965,Day Schools,3 - 12,,Ram Park,
