slug,url,city,name,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/chandigarh/st-stephens-school-togan,https://yellowslate.com/school/chandigarh/st-stephens-school-togan,chandigarh,St. Stephens School - Togan ,3.6,181,57,+919513238818,Togan,CBSE,2001,Boarding Schools,000 - 70,Co-Education,,,
/school/chandigarh/guru-nanak-public-school-sector-36-dsector-36,https://yellowslate.com/school/chandigarh/guru-nanak-public-school-sector-36-dsector-36,chandigarh,"Guru Nanak Public School - Sector 36-D,Sector 36 ",0,178,0,+919513238818,"D,Sector 36",CBSE,1974,Boarding Schools,800 - 34,Co-Education,,,
/school/chandigarh/the-new-public-school-chandigarh,https://yellowslate.com/school/chandigarh/the-new-public-school-chandigarh,chandigarh,The New Public School - Chandigarh ,0,153,0,+919513238818,Chandigarh,CBSE,1960,Boarding Schools,,Co-Education,,,
/school/chandigarh/st-josephs-senior-secondary-school-chandigarh,https://yellowslate.com/school/chandigarh/st-josephs-senior-secondary-school-chandigarh,chandigarh,St. Josephs Senior Secondary School - Chandigarh ,0,148,0,+919513238818,Chandigarh,CBSE,1981,Boarding Schools,356 - 61,Co-Education,,,
/school/chandigarh/ikidz-preschool-chandigarh,https://yellowslate.com/school/chandigarh/ikidz-preschool-chandigarh,chandigarh,Ikidz Preschool - Chandigarh ,5.0,0,31,+919513238818,Chandigarh,Montessori,,Play Schools,,,,,
/school/chandigarh/amity-international-school-sahibzada-ajit-singh-nagar,https://yellowslate.com/school/chandigarh/amity-international-school-sahibzada-ajit-singh-nagar,chandigarh,Amity International School - Sahibzada Ajit Singh Nagar ,4.4,0,94,+919513238818,Sahibzada Ajit Singh Nagar,CBSE,2020,Day Schools,Nursery - 12,,,,
/school/chandigarh/xaviers-senior-secondary-school-chandigarh,https://yellowslate.com/school/chandigarh/xaviers-senior-secondary-school-chandigarh,chandigarh,Xavier's Senior Secondary School - Chandigarh ,3.7,0,121,+919513238818,Chandigarh,ICSE,1860,Day Schools,Nursery - 12,,,,
/school/chandigarh/tender-heart-high-school-chandigarh,https://yellowslate.com/school/chandigarh/tender-heart-high-school-chandigarh,chandigarh,Tender Heart High School - Chandigarh ,4.2,0,66,+919513238818,Chandigarh,ICSE,1973,Day Schools,Nursery - 12,,,,
/school/chandigarh/c-l-aggarwal-dav-model-school-chandigarh,https://yellowslate.com/school/chandigarh/c-l-aggarwal-dav-model-school-chandigarh,chandigarh,C L Aggarwal D.A.V Model School - Chandigarh ,4.3,0,17,+919513238818,Chandigarh,ICSE,1955,Day Schools,Nursery - 12,,,,
/school/chandigarh/kundan-international-school-chandigarh,https://yellowslate.com/school/chandigarh/kundan-international-school-chandigarh,chandigarh,Kundan International School - Chandigarh ,0,0,0,+919513238818,Chandigarh,CBSE,2007,Day Schools,Nursery - 12,,,,
/school/chandigarh/smart-wonders-school-sahibzada-ajit-singh-nagar,https://yellowslate.com/school/chandigarh/smart-wonders-school-sahibzada-ajit-singh-nagar,chandigarh,Smart Wonders School - Sahibzada Ajit Singh Nagar ,4.9,0,150,+919513238818,Sahibzada Ajit Singh Nagar,CBSE,2010,Day Schools,Nursery - 12,,,,
/school/chandigarh/mount-carmel-school-sector-47b-chandigarh,https://yellowslate.com/school/chandigarh/mount-carmel-school-sector-47b-chandigarh,chandigarh,Mount Carmel School- Sector 47B - Chandigarh ,4.6,0,150,+919513238818,Chandigarh,CBSE,1987,Public Schools,Nursery - 12,,,,
