slug,url,city,name,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/surat/shri-swaminarayan-mission-school-valak-patiya,https://yellowslate.com/school/surat/shri-swaminarayan-mission-school-valak-patiya,surat,Shri Swaminarayan Mission School - Valak Patiya ,0,176,0,+919513238818,Valak Patiya,CBSE,,Boarding Schools,,Co-Education,,,
/school/surat/seventh-day-adventist-high-school-tichakpura-vyara,https://yellowslate.com/school/surat/seventh-day-adventist-high-school-tichakpura-vyara,surat,Seventh Day Adventist High School - Tichakpura Vyara ,0,169,0,+919513238818,Tichakpura Vyara,ICSE,,Boarding Schools,400 - 26,Co-Education,,,
/school/surat/tapovan-sanskardham-vidyalaya-national-highway-8-distt-navasari,https://yellowslate.com/school/surat/tapovan-sanskardham-vidyalaya-national-highway-8-distt-navasari,surat,TAPOVAN SANSKARDHAM VIDYALAYA - NATIONAL HIGHWAY 8 DISTT NAVASARI ,4.5,169,52,+919513238818,NATIONAL HIGHWAY 8 DISTT NAVASARI,CBSE,1983,Boarding Schools,000 - 85,Boys,,,
/school/surat/tapti-valley-international-school-ganganagarmorabhagal,https://yellowslate.com/school/surat/tapti-valley-international-school-ganganagarmorabhagal,surat,"Tapti Valley International School - Ganga Nagar,Morabhagal ",4.4,162,32,+919513238818,"Ganga Nagar,Morabhagal",CBSE,2011,Day Schools,800 - 85,Co-Education,,,
/school/surat/vishwa-bharti-girls-international-school-kamrej,https://yellowslate.com/school/surat/vishwa-bharti-girls-international-school-kamrej,surat,VISHWA BHARTI GIRLS INTERNATIONAL SCHOOL - Kamrej ,0,159,0,+919513238818,Kamrej,CBSE,2016,Boarding Schools,800 - 172,Girls,,,
/school/surat/sdj-international-school-palsana,https://yellowslate.com/school/surat/sdj-international-school-palsana,surat,SDJ INTERNATIONAL SCHOOL - Palsana ,0,147,0,+919513238818,Palsana,CBSE,2017,Boarding Schools,000 - 7,Co-Education,,,
/school/surat/vishwa-bharti-girls-international-school-morthana,https://yellowslate.com/school/surat/vishwa-bharti-girls-international-school-morthana,surat,Vishwa Bharti Girls International School - Morthana ,0,138,0,+919513238818,Morthana,CBSE,2016,Boarding Schools,000 - 70,Girls,,,
/school/surat/p-p-savani-cambridge-international-school-mota-varachcha,https://yellowslate.com/school/surat/p-p-savani-cambridge-international-school-mota-varachcha,surat,P P Savani Cambridge International School - Mota Varachcha ,0,134,0,+919513238818,Mota Varachcha,"IGCSE, CBSE, State Board",,Boarding Schools,000 - 45,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/surat/p-p-savani-chaitanya-vidya-mota-varachcha,https://yellowslate.com/school/surat/p-p-savani-chaitanya-vidya-mota-varachcha,surat,P P SAVANI CHAITANYA VIDYA - Mota Varachcha ,0,128,0,+919513238818,Mota Varachcha,"CBSE, IB",,Boarding Schools,,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/surat/g-d-goenka-international-school-city-light-townveer-narmad-south-gujarat-university,https://yellowslate.com/school/surat/g-d-goenka-international-school-city-light-townveer-narmad-south-gujarat-university,surat,"G. D. Goenka International School - City Light Town,Veer Narmad South Gujarat University ",0,122,0,+919513238818,"City Light Town,Veer Narmad South Gujarat University",CBSE,,Boarding Schools,000 - 90,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/surat/gd-goenka-international-school-city-light-townveer-narmad-south-gujarat-university,https://yellowslate.com/school/surat/gd-goenka-international-school-city-light-townveer-narmad-south-gujarat-university,surat,"G.D. Goenka International School - City Light Town,Veer Narmad South Gujarat University ",0,116,0,+919513238818,"City Light Town,Veer Narmad South Gujarat University",CBSE,2011,Day Schools,880 - 71,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/surat/podar-international-school--city-light-townveer-narmad-south-gujarat-university,https://yellowslate.com/school/surat/podar-international-school--city-light-townveer-narmad-south-gujarat-university,surat,"Podar international school - City Light Town,Veer Narmad South Gujarat University ",0,0,0,+919513238818,"City Light Town,Veer Narmad South Gujarat University",CBSE,2019,Day Schools,Nursery - 10,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
