slug,url,city,name,name_with_locality,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/bengaluru/new-horizon-international-school-hennur-main-road,https://yellowslate.com/school/bengaluru/new-horizon-international-school-hennur-main-road,bengaluru,New Horizon International School - Hennur Main Road ,New Horizon International School - Hennur Main Road ,4.1,10797,229,+919513238818,Hennur Main Road,"CBSE, IGCSE",2022,International Schools,Nursery - 11,Co-Education,,"Gallery
Videos
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Hennur Main Road
CBSE
New Horizon International School
New Horizon International School Information

Since : 2022

Category : International Schools

Nursery - 11

Board : CBSE, IGCSE

Co-Education

New Horizon International School

New Horizon International School (NHIS) in Bangalore is a renowned educational institution that offers a holistic...

New Horizon International School Fee Structure

IGCSE Fee Rang",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/16688534755565271926378aee32a9931668853475.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759497486209471482268dfcd0e8f1b11759497487.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854312637492131068d13d16456721758543126.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1758543107101150520168d13d03c52ab1758543108.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854296873563389968d13c78752681758542968.jfif&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1758542926625746668d13c4eeca7f1758542927.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854290414520425068d13c38a70591758542905.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854290482211155068d13c383fe641758542904.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854272344437269068d13b83108851758542723.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175854272091450182668d13b80b97601758542721.jpeg&w=1200&q=75
/school/bengaluru/trio-world-academy-sahakar-nagar,https://yellowslate.com/school/bengaluru/trio-world-academy-sahakar-nagar,bengaluru,Trio World Academy - Sahakar Nagar ,Trio World Academy - Sahakar Nagar ,5.0,10567,12,+919513238818,Sahakar Nagar,"IB, IGCSE",2007,"International Schools, Day Schools",Nursery - 12,Co-Education,,"Gallery
Videos
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Sahakar Nagar
IB
Trio World Academy
Trio World Academy Information

Since : 2007

Category : International Schools, Day Schools

Nursery - 12

Board : IB, IGCSE

Co-Education

Trio World Academy

TRIO World Academy, Bengaluru is a well-established IB World School in India, authorised to offer the IB Primary Years...

Trio World Academy Fee Structure

IB Fee Range :- 300,000 - 700,000(Grade Nursery - 12)

Trio",https://yellowslate.sgp1.digitaloceanspaces.com/schools/1770113440652uxugfpd7gx.blob
/school/bengaluru/harrow-international-school-bengaluru-devanahalli,https://yellowslate.com/school/bengaluru/harrow-international-school-bengaluru-devanahalli,bengaluru,Harrow International School Bengaluru - Devanahalli ,Harrow International School Bengaluru - Devanahalli ,4.6,7767,28,+919513238818,Devanahalli,"IB, IGCSE",2023,"Boarding Schools, International Schools",000 - 1,Co-Education,,"Gallery
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Devanahalli
IB
Harrow International School Bengaluru
Harrow International School Bengaluru Information

Since : 2023

Category : Boarding Schools, International Schools

UKG - 12

Board : IB, IGCSE

Co-Education

Harrow International School Bengaluru

Harrow International School Bengaluru is a coeducational boarding and day school for students aged 5 to 18, offering a...

Harrow International School Bengaluru Fee St",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/168613300188135012664805909450471686133001.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1747025328179002753068217db05aad71747025328.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1718099963163655747666681ffb4f8971718099963.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F171757940439880472266602e8cb44471717579405.webp&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F171757938580566996566602e796d96c1717579385.webp&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F171757930416736768466602e2833f071717579304.webp&w=1200&q=75
/school/bengaluru/knowledgeum-academy-jayanagar,https://yellowslate.com/school/bengaluru/knowledgeum-academy-jayanagar,bengaluru,Knowledgeum Academy - Jayanagar ,Knowledgeum Academy - Jayanagar ,4.8,7732,92,+919513238818,Jayanagar,IB,2021,International Schools,11 - 12,Co-Education,,"Gallery
Videos
Location
Reviews
School Jobs
+919513238818
Home
Bengaluru
Jayanagar
IB
Knowledgeum Academy
Knowledgeum Academy Information

Since : 2021

Category : International Schools

11 - 12

Board : IB

Co-Education

Knowledgeum Academy

Knowledgeum Academy, an International Higher Secondary School in Jayanagar, Bengaluru is on a mission to reimagine...

Knowledgeum Academy Fee Structure

IB Fee Range :- 500,000 - 700,000(Grade 11 - 12)

Knowledgeum Academy ?
Ask a Question
Knowledgeum Acad",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/167204724124588044463a96a89336e91672047241.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1672047317126114595063a96ad5cce7b1672047318.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F16720473154766650163a96ad3b51a51672047316.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1672047315165699985563a96ad37a3bb1672047316.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1672047313208140020963a96ad1c118c1672047314.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1672047313150476822663a96ad129e0b1672047313.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2023%2F11%2F2023-07-31.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F12%2Fscrnli_9_25_2024_4-29-35-PM-1024x342-1.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F10-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F12-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F157311851116260060305dc3e22f0955d1573118511.PNG&w=1200&q=75
/school/bengaluru/national-centre-for-excellence-school-c-v-raman-nagar,https://yellowslate.com/school/bengaluru/national-centre-for-excellence-school-c-v-raman-nagar,bengaluru,National Centre For Excellence school - C V Raman Nagar ,National Centre For Excellence school - C V Raman Nagar ,3.8,7655,139,+919513238818,C V Raman Nagar,CBSE,2006,Public Schools,Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
C V Raman Nagar
CBSE
National Centre For Excellence School
National Centre For Excellence school Information

Since : 2006

Category : Public Schools

Nursery - 12

Board : CBSE

Co-Education

National Centre For Excellence school

The National Centre for Excellence (NCFE), located in CV Raman Nagar, Bangalore, is a prominent school that has been...

National Centre For Excellence school Fee Structure

CBSE Fee Range",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/174375050171361044667ef856509d971743750501.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F17716473126955sq23rxoj0f.blob&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1771647288952uy54lg9qqe.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F17716472886077krrgfhhrwf.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1771647288261geunb5thzb7.jpeg&w=1200&q=75
/school/bengaluru/jain-international-residential-school-ramanagara,https://yellowslate.com/school/bengaluru/jain-international-residential-school-ramanagara,bengaluru,JAIN International Residential School - Ramanagara ,JAIN International Residential School - Ramanagara ,0,6100,0,+919513238818,Ramanagara,"CBSE, IB, IGCSE",1999,"Boarding Schools, International Schools",000 - 925,Co-Education,,"Location
Reviews
School Jobs
+919513238818
Home
Bengaluru
Ramanagara
CBSE
JAIN International Residential School
JAIN International Residential School Information

Since : 1999

Category : Boarding Schools, International Schools

Nursery - Pre School

Board : CBSE, IB, IGCSE

Co-Education

JAIN International Residential School

Jain International Residential School (JIRS) was founded in the year 1999 by JGI Group. By over two decades in the...

JAIN International Residential School Fee Structure
",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F10-3.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F01%2F12-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fschools%2F1770444634638b96nqdcnny.blob&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
/school/bengaluru/the-shri-ram-universal-school-chokkanahalli,https://yellowslate.com/school/bengaluru/the-shri-ram-universal-school-chokkanahalli,bengaluru,We’ll be back soon in 5:00,We’ll be back soon in 5:00,,,,,,,,,,,,,
/school/bengaluru/crestwood-high-varthur,https://yellowslate.com/school/bengaluru/crestwood-high-varthur,bengaluru,Crestwood High - Varthur ,Crestwood High - Varthur ,0,5800,0,+919513238818,Varthur,CBSE,2024,,Nursery - 10,Co-Education,,"Gallery
Location
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Varthur
CBSE
Crestwood High
Crestwood High Information

Since : 2024

Nursery - 10

Board : CBSE

Co-Education

Crestwood High

Crestwood High is dedicated to shaping tomorrow’s leaders by fostering a balance between academic excellence,...

Crestwood High Fee Structure

CBSE Fee Range :- 105,000 - 135,000(Grade Nursery - 10)

Crestwood High ?
Ask a Question
Crestwood High Reviews
View All Reviews
Overall Experience
 0
Teac",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076384105067333068e8a260dbefd1760076385.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076384163296079068e8a2606bab11760076384.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628835358359468e8a2004def11760076288.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076288156293731968e8a20002e861760076288.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628770873273468e8a1ff77ec81760076287.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076287182049798068e8a1ff1d5fa1760076287.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628659767191068e8a1fe7df581760076287.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076286147497449968e8a1fe27ca81760076286.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628532549240568e8a1fd423831760076285.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628484090707168e8a1fcda1f21760076285.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076284146490156268e8a1fc5dd8b1760076284.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176007628325502419068e8a1fbab3961760076284.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076283144148104368e8a1fb4cc001760076283.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1760076282138558794268e8a1fad7ac91760076283.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FChess.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75
/school/bengaluru/trio-world-school-sahakar-nagar,https://yellowslate.com/school/bengaluru/trio-world-school-sahakar-nagar,bengaluru,Trio World School - Sahakar Nagar ,Trio World School - Sahakar Nagar ,4.3,5118,89,+919513238818,Sahakar Nagar,"ICSE, ISC",2007,"International Schools, Public Schools",Nursery - 12,Co-Education,,"Gallery
Videos
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Sahakar Nagar
ICSE
Trio World School
Trio World School Information

Since : 2007

Category : International Schools, Public Schools

Nursery - 12

Board : ICSE, ISC

Co-Education

Trio World School

TRIO World School, Bengaluru is a leading ICSE and ISC curriculum school, trusted by parents for its exceptional...

Trio World School Fee Structure

ICSE Fee Range :- 200,000 - 400,000(Grade Nursery - 12)

Trio Wo",https://yellowslate.sgp1.digitaloceanspaces.com/schools/1770444634638b96nqdcnny.blob | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759904685211738338868e603ad786261759904685.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759904682205896807168e603aaf1a391759904683.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175990468124843938668e603a9592221759904681.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175990467777583942168e603a5796491759904677.jpg&w=1200&q=75
/school/bengaluru/national-public-school-indiranagar,https://yellowslate.com/school/bengaluru/national-public-school-indiranagar,bengaluru,National Public School - Indiranagar ,National Public School - Indiranagar ,3.1,4941,73,+919513238818,Indiranagar,CBSE,1982,Public Schools,2026-27,Co-Education,,"Gallery
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Bengaluru
Indiranagar
CBSE
National Public School
National Public School Information

Since : 1982

Category : Public Schools

LKG - 12

Board : CBSE

Co-Education

National Public School

National Public School, Indiranagar - a co-educational school - was founded in 1982 under the chairmanship of Dr. K. P....

National Public School ?
Ask a Question
National Public School Reviews
View All Reviews
Overall Experience
 2.0
Teac",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F158139193917059926605e42204308e171581391939.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F15813919398291738295e422043088431581391939.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F15813919354832280805e42203f08a231581391935.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F158139193513562060755e42203f058621581391935.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F15813919321525460735e42203ce0b5e1581391933.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F158139193212777210445e42203ce05101581391933.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F158139193013976096225e42203a7eb3e1581391931.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F15813919307605530345e42203a749f91581391930.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fteam%2F158139211816982030035e4220f6d67951581392119.PNG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FThrowball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTable-tennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSkating.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKho-Kho.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKabaddi.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FHockey.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75
