slug,url,city,name,name_with_locality,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/hyderabad/candiidus-international-school-patancheruvu,https://yellowslate.com/school/hyderabad/candiidus-international-school-patancheruvu,,Candiidus International School - Patancheruvu ,Candiidus International School - Patancheruvu ,4.3,17000,91,+919513238818,Patancheruvu,"CBSE, IB, IGCSE",2020,International Schools,Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Patancheruvu
CBSE
Candiidus International School
Candiidus International School Information

Since : 2020

Category : International Schools

Nursery - 12

Board : CBSE, IB, IGCSE

Co-Education

Candiidus International School

Candiidus International School in Hyderabad offers a world-class, 10-acre campus designed to support both academic and...

Candiidus International School Fee Structure

CBSE Fee Range :- 280,000",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/172352053054635939266bad612f403d1723520531.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17640982981698407418692600fa162651764098298.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1764098297363082688692600f9c20b51764098298.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17640982971828872430692600f9795fe1764098297.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17640982971731086887692600f932bc91764098297.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17640982961976317547692600f8e263c1764098297.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1764098296769787598692600f8974061764098297.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17640982961531472705692600f8496211764098296.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FThrowball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTaekwondo.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTable-tennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSwimming.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSquash.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSoccer.png&w=1200&q=75
/school/hyderabad/epistemo-vikas-leadership-school-nalagandla,https://yellowslate.com/school/hyderabad/epistemo-vikas-leadership-school-nalagandla,,Epistemo Vikas Leadership School - Nalagandla ,Epistemo Vikas Leadership School - Nalagandla ,4.0,15142,105,+919513238818,Nalagandla,"CBSE, Cambridge IGCSE",2012,International Schools,Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Nalagandla
CBSE
Epistemo Vikas Leadership School
Epistemo Vikas Leadership School Information

Since : 2012

Category : International Schools

Nursery - 12

Board : CBSE, Cambridge IGCSE

Co-Education

Epistemo Vikas Leadership School

Located in Nallagandla, Hyderabad, Epistemo Vikas Leadership School has been nurturing academic excellence and holistic...

Epistemo Vikas Leadership School Fee Structure

CBSE Fee Ran",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/user_profile/1761885953110203604269043f016e28f1761885953.jpg | https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/16838940551186126290645e2f27af36a1683894056.jpeg
/school/hyderabad/meluha-international-school-kokapet,https://yellowslate.com/school/hyderabad/meluha-international-school-kokapet,,Meluha International School - Kokapet ,Meluha International School - Kokapet ,4.1,15135,177,+919513238818,Kokapet,"CBSE, IB",2017,"International Schools, Boarding Schools",1 - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Kokapet
CBSE
Meluha International School
Meluha International School Information

Since : 2017

Category : International Schools, Boarding Schools

1 - 12

Board : CBSE, IB

Co-Education

Meluha International School

Meluha International School, situated in Manchirevula, Gandipet, is conveniently located near Kokapet. Spanning an...

Meluha International School Fee Structure

CBSE Fee Range :- 170,000 - 255,000(Grade",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/17047143481710037307659be06c61f641704714348.JPG
/school/hyderabad/kairos-international-school-financial-district,https://yellowslate.com/school/hyderabad/kairos-international-school-financial-district,,Kairos International School - Financial District ,Kairos International School - Financial District ,4.3,15124,95,+919513238818,Financial District,"CBSE, IGCSE",2020,International Schools,Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Financial District
CBSE
Kairos International School
Kairos International School Information

Since : 2020

Category : International Schools

Nursery - 12

Board : CBSE, IGCSE

Co-Education

Kairos International School

Located in the Financial District, Hyderabad, Kairos International School was established in 2020 with a strong...

Kairos International School Fee Structure

IGCSE Fee Range :- 135,000 - 295,000(Grade",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/1718963562108523807866754d6aba2991718963563.png | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F17648343146544drt3k91wom.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175464786218832759816895cd360f94c1754647862.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17546478618213871946895cd35a01ee1754647862.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1754392219153607376891e69ba13221754392220.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175438860918569452616891d8814302a1754388609.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTaekwondo.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTable-tennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSkating.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FChess.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCarroms.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75
/school/hyderabad/vista-international-school-nalagandla,https://yellowslate.com/school/hyderabad/vista-international-school-nalagandla,,Vista International School - Nalagandla ,Vista International School - Nalagandla ,5.0,15084,30,+919513238818,Nalagandla,"CBSE, IB",2011,International Schools,Nursery - 12,Co-Education,,"Gallery
Videos
Location
Reviews
School Jobs
+919513238818
Home
Hyderabad
Nalagandla
CBSE
Vista International School
Vista International School Information

Since : 2011

Category : International Schools

Nursery - 12

Board : CBSE, IB

Co-Education

Vista International School

Established in 2011, Vista International School is located in the bustling area of Gachibowli, Hyderabad. The school is...

Vista International School Fee Structure

CBSE Fee Range :- 120,000 - 250,000(Grade Nursery - 12)
",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/1733134085882943101674d8705883c51733134086.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1762171723152103366869089b4bbcb3f1762171724.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F10%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F08%2F2.jpg&w=1200&q=75
/school/hyderabad/sanskriti-international-school-kondapur,https://yellowslate.com/school/hyderabad/sanskriti-international-school-kondapur,,Sanskriti International School - Kondapur ,Sanskriti International School - Kondapur ,3.7,15006,194,+919513238818,Kondapur,CBSE,2001,International Schools,1 - 12,Co-Education,,"Gallery
Videos
Location
Faculty
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Kondapur
CBSE
Sanskriti International School
Sanskriti International School Information

Since : 2001

Category : International Schools

1 - 12

Board : CBSE

Co-Education

Sanskriti International School

Sanskriti School, founded in 2004, is dedicated to nurturing well-rounded individuals by developing their social,...

Sanskriti International School Fee Structure

CBSE Fee Range :- 190,000 - 200,000(Grade N",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/1521102582_proile.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372610260838648691aee429c8e11763372611.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372610198422468691aee424c4a11763372610.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726092044866260691aee41ebcc51763372610.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372609929504686691aee41962881763372610.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F176337260926419249691aee413b1581763372609.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726082076569092691aee40d5a341763372609.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372608314038511691aee407deb11763372609.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372608706569760691aee402806e1763372608.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726071262670043691aee3fcaec21763372608.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372607573354149691aee3f78b571763372607.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372607310660251691aee3f2f7151763372607.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726061474044510691aee3ed0ac31763372607.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372606394608201691aee3e7fe0a1763372607.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726061946884064691aee3e2918e1763372606.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1763372605663158453691aee3dc9d8f1763372606.JPG&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17633726051355296010691aee3d6b3dc1763372605.JPG&w=1200&q=75
/school/hyderabad/sanskriti-global-pre-school-kondapur-kondapur,https://yellowslate.com/school/hyderabad/sanskriti-global-pre-school-kondapur-kondapur,,Sanskriti Global Pre School Kondapur - Kondapur ,Sanskriti Global Pre School Kondapur - Kondapur ,4.7,15004,17,+919513238818,Kondapur,Other Boards,2001,Play Schools,000 - 130,Co-Education,,"Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Kondapur
Other Boards
Sanskriti Global Pre School Kondapur
Sanskriti Global Pre School Kondapur Information

Since : 2001

Category : Play Schools

Nursery - UKG

Board : Other Boards

Co-Education

Sanskriti Global Pre School Kondapur

Sanskriti Global Preschool, Kondapur, is a well-known preschool committed to providing a nurturing and enriching...

Sanskriti Global Pre School Kondapur Fee Structure

Other Boards Fee Range :- 110",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKarate.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FChess.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F10%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F08%2F2.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1521102582_proile.jpg&w=1200&q=75
/school/hyderabad/indic-international-school-kompally,https://yellowslate.com/school/hyderabad/indic-international-school-kompally,,Indic International School - Kompally ,Indic International School - Kompally ,4.4,14300,28,+919513238818,Kompally,CBSE,2022,International Schools,Nursery - 9,Co-Education,,"Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Kompally
CBSE
Indic International School
Indic International School Information

Since : 2022

Category : International Schools

Nursery - 9

Board : CBSE

Co-Education

Indic International School

Indic International School, located in Kompally, Hyderabad, is a prominent educational institution known for its...

Indic International School Fee Structure

CBSE Fee Range :- 89,000 - 149,000(Grade Nursery - 9)

Indic International Sch",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSkating.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKho-Kho.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FHandball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F10%2FBulk-1-Bulk-1-Blue-Modern-Dream-Home-For-Sale-Blog-Banner-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2019%2F08%2F2.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fschools%2F17676852079925m0gn9ipwlu.jpg&w=1200&q=75
/school/hyderabad/manchester-global-school-kandukur-mandal,https://yellowslate.com/school/hyderabad/manchester-global-school-kandukur-mandal,,Manchester Global School Hyderabad - Kandukur Mandal ,Manchester Global School Hyderabad - Kandukur Mandal ,4.6,14100,43,+919513238818,Kandukur Mandal,"CBSE, IB, IB",2023,"Boarding Schools, International Schools",Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Kandukur Mandal
CBSE
Manchester Global School Hyderabad
Manchester Global School Hyderabad Information

Since : 2023

Category : Boarding Schools, International Schools

Nursery - 12

Board : CBSE, IB, IB

Co-Education

Manchester Global School Hyderabad

Vision and LeadershipFounder: Dr. Kondal Reddy Kandadi, MBE awardee for his contributions to education and public...

Manchester Global School Hyderabad Fee Structu",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/17558477135101644568a81c2181edc1755847714.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1770782887795897bniqjjxw.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F177078288749546oxm4fvpu9.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1770782887151zj7gi4d2xem.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1770782886827cb4tjemxx6.blob&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1770782886482n273q8meauh.blob&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.digitaloceanspaces.com%2Fgallery%2F1770782886223z4ucxons66.jpeg&w=1200&q=75
/school/hyderabad/solitaire-global-schools-attapur,https://yellowslate.com/school/hyderabad/solitaire-global-schools-attapur,,Solitaire Global Schools - Attapur ,Solitaire Global Schools - Attapur ,4.2,14001,172,+919513238818,Attapur,IGCSE,2017,"International Schools, Public Schools",Nursery - 12,Co-Education,,"Gallery
Videos
Location
Sports
Reviews
School Jobs
+919513238818
Home
Hyderabad
Attapur
IGCSE
Solitaire Global Schools
Solitaire Global Schools Information

Since : 2017

Category : International Schools, Public Schools

Nursery - 12

Board : IGCSE

Co-Education

Solitaire Global Schools

Solitaire Global School, Attapur, Hyderabad, was founded in 2017 and offers education from pre-primary to grade 12...

Solitaire Global Schools Fee Structure

IGCSE Fee Range :- 181,000 - 314,000(Grade Nursery ",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/1707211033193007417665c1f9195cba01707211033.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1707211676140771521565c1fb9c50a5b1707211676.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1707211655165924024065c1fb87e8c2a1707211656.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1707211082188001564265c1f94a856d81707211083.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17072110776221348665c1f945112501707211077.jpg&w=1200&q=75
