slug,url,city,name,name_with_locality,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/pune/vishwashanti-gurukul-world-school-loni-kalbhor,https://yellowslate.com/school/pune/vishwashanti-gurukul-world-school-loni-kalbhor,pune,Vishwashanti Gurukul World School - Loni Kalbhor ,Vishwashanti Gurukul World School - Loni Kalbhor ,4.2,2800,117,+919513238818,Loni Kalbhor,"IB, CBSE",2005,"Boarding Schools, International Schools",Nursery - 12,Co-Education,,"Gallery
Location
Sports
Reviews
+919513238818
Home
Pune
Loni Kalbhor
IB
Vishwashanti Gurukul World School
Vishwashanti Gurukul World School Information

Since : 2005

Category : Boarding Schools, International Schools

Nursery - 12

Board : IB, CBSE

Co-Education

Vishwashanti Gurukul World School

Vishwashanti Gurukul Vision and LeadershipEstablished by: Maharashtra Academy of Engineering and Research...

Vishwashanti Gurukul World School Fee Structure

IB Fee Range :- 500,000 - 1,200,000(Grade",https://yellowslate.sgp1.cdn.digitaloceanspaces.com/schools/176297164513017744196914cffd057271762971645.jpg | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759993610193242226168e75f0ac11061759993611.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175999360979778208568e75f09ef0661759993610.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759993609202823873568e75f09911521759993610.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175999360946751131468e75f09142c71759993609.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175999360832167355068e75f085ff2d1759993608.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F17599936078945341368e75f075a2841759993607.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759993606121874680368e75f06d56d81759993607.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759993606158332752268e75f0658e8a1759993606.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1759993299130766169668e75dd3e5b431759993300.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175999329915912850268e75dd30db1e1759993299.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F175999328017797496468e75dc0524d81759993280.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F174099969831781708767c58c12796471740999698.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1740999698111321519267c58c12307211740999698.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F174099969697941844367c58c109733c1740999697.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F174099969685660628467c58c1027cdd1740999696.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F1740999692196976619067c58c0cace541740999693.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F174099969272624928767c58c0c75fc41740999692.jpg&w=1200&q=75
/school/pune/mahindra-international-school-pune,https://yellowslate.com/school/pune/mahindra-international-school-pune,pune,Mahindra International School - Pune ,Mahindra International School - Pune ,3.8,2530,25,+919513238818,Pune,IB,,International Schools,Nursery - 12,Co-Education,,"Sports
Reviews
+919513238818
Home
Pune
Pune
IB
Mahindra International School
Mahindra International School Information

Since : -

Category : International Schools

Nursery - 12

Board : IB

Co-Education

Mahindra International School

We Inspire Learning to become life-long learners who develop skills and conceptual understanding in a joyful learning...

Mahindra International School ?
Ask a Question
Mahindra International School Reviews
View All Reviews
Overall Experience
 0
Teaching Excellenc",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSwimming.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBoxing.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
/school/pune/symbiosis-international-school-airport-road,https://yellowslate.com/school/pune/symbiosis-international-school-airport-road,pune,Symbiosis International School - Airport Road ,Symbiosis International School - Airport Road ,0,2222,0,+919513238818,Airport Road,IB,2005,International Schools,Nursery - 12,Co-Education,,"Sports
Reviews
+919513238818
Home
Pune
Airport Road
IB
Symbiosis International School
Symbiosis International School Information

Since : 2005

Category : International Schools

Nursery - 12

Board : IB

Co-Education

Symbiosis International School

The journey of a thousand miles begins with a single step. But it involves deliberation and much hesitation. The...

Symbiosis International School Fee Structure

IB Fee Range :- 85,475 - 85,475(Grade Nursery - 12)

Symbiosis International School ?
A",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTennis.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FGymnastics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBoxing.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
/school/pune/the-lexicon-international-school-wagholi,https://yellowslate.com/school/pune/the-lexicon-international-school-wagholi,pune,The Lexicon International School - Wagholi ,The Lexicon International School - Wagholi ,4.8,2141,189,+919513238818,Wagholi,CBSE,2006,International Schools,Nursery - 12,Co-Education,,"Location
Sports
Reviews
+919513238818
Home
Pune
Wagholi
CBSE
The Lexicon International School
The Lexicon International School Information

Since : 2006

Category : International Schools

Nursery - 12

Board : CBSE

Co-Education

The Lexicon International School

With the sole aim of imparting high quality education in the field of management education, preprimary, primary and...

The Lexicon International School ?
Ask a Question
The Lexicon International School Reviews
View All Reviews
Overall ",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1744611798107774601067fca9d6e55411744611799.jpeg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
/school/pune/the-kalyani-school-amanora-park-town-hadapsar,https://yellowslate.com/school/pune/the-kalyani-school-amanora-park-town-hadapsar,pune,"The Kalyani School - Amanora Park Town,Hadapsar ","The Kalyani School - Amanora Park Town,Hadapsar ",4.9,2081,37,+919513238818,"Amanora Park Town,Hadapsar","CBSE, IB, IGCSE",2022,Public Schools,Nursery - 12,Co-Education,,"Gallery
Location
Sports
Reviews
+919513238818
Home
Pune
Amanora Park Town,Hadapsar
CBSE
The Kalyani School
The Kalyani School Information

Since : 2022

Category : Public Schools

Nursery - 12

Board : CBSE, IB, IGCSE

Co-Education

The Kalyani School

The Kalyani School is located in Manjri, Pune, Maharashtra, on a sprawling nine-acre campus. The Kalyani School (TKS)...

The Kalyani School Fee Structure

CBSE Fee Range :- 131,238 - 131,238(Grade Nursery - 12)

The Kalyani School ?
Ask a Questio",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F166555905676089187763466a10d12281665559057.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F166555905413114432863466a0eea49b1665559055.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fgallery%2F166555905419077015963466a0e577f11665559054.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBilliards.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F56.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2022%2F10%2F2022-2-3-14-22-13-476_footergallerybengaluruicse09122021_4-1.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F1728473191110278740367066867d352a1728473192.jpg&w=1200&q=75
/school/pune/st-arnolds-central-school-wadgaon-sheri,https://yellowslate.com/school/pune/st-arnolds-central-school-wadgaon-sheri,pune,St. Arnold's Central School - Wadgaon Sheri ,St. Arnold's Central School - Wadgaon Sheri ,4.1,1997,47,+919513238818,Wadgaon Sheri,"CBSE, CBSE, CBSE",2011,"Public Schools, Public Schools",Nursery - 12,Co-Education,,"Location
Sports
Reviews
+919513238818
Home
Pune
Wadgaon Sheri
CBSE
St. Arnold's Central School
St. Arnold's Central School Information

Since : 2011

Category : Public Schools, Public Schools

Nursery - 12

Board : CBSE, CBSE, CBSE

Co-Education

St. Arnold's Central School

Welcome to St. Arnold’s Central School, Pune – a place where learning goes beyond books and education touches the...

St. Arnold's Central School Fee Structure

CBSE Fee Range :- 65,000 - 70,000(Grade Nursery - 12)

St. Arno",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSkating.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FThrowball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FTaekwondo.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FSoccer.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKho-Kho.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FGymnastics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FHandball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKabaddi.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FKarate.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FHockey.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCheckers.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBoxing.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75
/school/pune/mit-vishwashanti-gurukul-hadapsar,https://yellowslate.com/school/pune/mit-vishwashanti-gurukul-hadapsar,pune,MIT Vishwashanti Gurukul - Hadapsar ,MIT Vishwashanti Gurukul - Hadapsar ,0,1967,0,+919513238818,Hadapsar,IB,1987,International Schools,Nursery - 12,Co-Education,,"Sports
Reviews
+919513238818
Home
Pune
Hadapsar
IB
MIT Vishwashanti Gurukul
MIT Vishwashanti Gurukul Information

Since : 1987

Category : International Schools

Nursery - 12

Board : IB

Co-Education

MIT Vishwashanti Gurukul

VISION To make Vishwashanti Gurukul a learning community of motivated students with the staff engaged in realising the...

MIT Vishwashanti Gurukul ?
Ask a Question
MIT Vishwashanti Gurukul Reviews
View All Reviews
Overall Experience
 0
Teaching Excellence
 0
Value for Mo",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FVolleyball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBilliards.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FAthletics.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75
/school/pune/sahyadri-school-pimpri-chinchwad,https://yellowslate.com/school/pune/sahyadri-school-pimpri-chinchwad,pune,Sahyadri School - Pimpri-Chinchwad ,Sahyadri School - Pimpri-Chinchwad ,4.6,1895,38,+919513238818,Chinchwad,ICSE,1995,Public Schools,Nursery - 12,Co-Education,,"Sports
Reviews
+919513238818
Home
Pune
Pimpri-Chinchwad
ICSE
Sahyadri School
Sahyadri School Information

Since : 1995

Category : Public Schools

Nursery - 12

Board : ICSE

Co-Education

Sahyadri School

Born out of Krishnamurti’s oft-expressed wish to his friend, the late Shri Achyut Patwardhan whose tireless efforts and...

Sahyadri School Fee Structure

ICSE Fee Range :- 600,000 - 600,000(Grade Nursery - 12)

Sahyadri School ?
Ask a Question
Sahyadri School Reviews
View All Reviews
Overall ",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FYoga.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FFootball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FCricket.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBasketball.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fsports%2FBadminton.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75
/school/pune/podar-international-school-chinchwad-east,https://yellowslate.com/school/pune/podar-international-school-chinchwad-east,pune,Podar International School - Chinchwad East ,Podar International School - Chinchwad East ,1.0,1742,2,+919513238818,Chinchwad East,CBSE,1927,International Schools,Nursery - 12,Co-Education,,"Location
Reviews
+919513238818
Home
Pune
Chinchwad East
CBSE
Podar International School
Podar International School Information

Since : 1927

Category : International Schools

Nursery - 12

Board : CBSE

Co-Education

Podar International School

Sheth Anandilal Podar founded the Podar Education Network in 1927, and since its inception, it has been propelled and...

Podar International School ?
Ask a Question
Podar International School Reviews
View All Reviews
Overall Experience
 1.0
Teaching Exc",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F175930495689041511868dcdcfc581ac1759304956.jpg&w=1200&q=75
/school/pune/go-school-airport-road,https://yellowslate.com/school/pune/go-school-airport-road,pune,Go School - Airport Road ,Go School - Airport Road ,4.2,1741,17,+919513238818,Airport Road,Other Boards,,Online Schools,6 - 12,Co-Education,,"Location
Reviews
+919513238818
Home
Pune
Airport Road
Other Boards
Go School
Go School Information

Since : 0

Category : Online Schools

6 - 12

Board : Other Boards

Co-Education

Go School

GoSchool: GoSchool, a venture of prestigious Ajeenkya DY Patil University, founded in 2021, is an international...

Go School ?
Ask a Question
Go School Reviews
View All Reviews
Overall Experience
 0
Teaching Excellence
 0
Value for Money
 0
Campus & Facilities
 0
Co-curricular Activities
 0
Write a review",https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F5-5.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate-blog.blr1.digitaloceanspaces.com%2F2024%2F02%2F59.jpg&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75 | https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
