city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
varanasi,/school/varanasi/jagran-public-school-darekhu,https://yellowslate.com/school/varanasi/jagran-public-school-darekhu,Jagran Public School - Darekhu ,4.4,335,69,+919513238818,CBSE,2015,Boarding Schools,2026-27,Co-Education,Darekhu,
varanasi,/school/varanasi/sunbeam-school-lahartara,https://yellowslate.com/school/varanasi/sunbeam-school-lahartara,Sunbeam School - LAHARTARA ,0,270,0,+919513238818,CBSE,2002,Boarding Schools,2026-27,Co-Education,LAHARTARA,
varanasi,/school/varanasi/sunbeam-suncity-karsana,https://yellowslate.com/school/varanasi/sunbeam-suncity-karsana,SUNBEAM SUNCITY - KARSANA ,0,236,0,+919513238818,CBSE,2011,Boarding Schools,Nursery - 12,Co-Education,KARSANA,
varanasi,/school/varanasi/the-aryan-international-school-amarabypass,https://yellowslate.com/school/varanasi/the-aryan-international-school-amarabypass,THE ARYAN INTERNATIONAL SCHOOL - AmaraBypass ,0,235,0,+919513238818,CBSE,2004,Boarding Schools,2026-27,Co-Education,AmaraBypass,
varanasi,/school/varanasi/sant-atulanand-convent-school-koirajpur,https://yellowslate.com/school/varanasi/sant-atulanand-convent-school-koirajpur,Sant Atulanand Convent School - Koirajpur ,0,224,0,+919513238818,CBSE,1980,Boarding Schools,2026-27,Co-Education,Koirajpur,
varanasi,/school/varanasi/rajghat-besant-school-a-j-krishnamurti-school-rajghat,https://yellowslate.com/school/varanasi/rajghat-besant-school-a-j-krishnamurti-school-rajghat,"Rajghat Besant School, a J Krishnamurti school - Rajghat ",0,221,0,+919513238818,CBSE,1919,Boarding Schools,2026-27,Co-Education,Rajghat,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F175441668017884161616892462831a041754416680.jpg&w=1200&q=75
varanasi,/school/varanasi/rs-convent-sainik-school-hostel-hiramanpur,https://yellowslate.com/school/varanasi/rs-convent-sainik-school-hostel-hiramanpur,RS Convent Sainik School &amp; Hostel - Hiramanpur ,0,219,0,+919513238818,CBSE,2004,Boarding Schools,2026-27,Co-Education,Hiramanpur,
varanasi,/school/varanasi/sunbeam-english-school-varanasi,https://yellowslate.com/school/varanasi/sunbeam-english-school-varanasi,SUNBEAM ENGLISH SCHOOL - VARANASI ,0,211,0,+919513238818,CBSE,1972,Boarding Schools,2026-27,Co-Education,VARANASI,
varanasi,/school/varanasi/mount-litera-zee-school-mohansarai-bypass,https://yellowslate.com/school/varanasi/mount-litera-zee-school-mohansarai-bypass,MOUNT LITERA ZEE SCHOOL - Mohansarai Bypass ,0,190,0,+919513238818,CBSE,2011,Boarding Schools,000 - 72,Co-Education,Mohansarai Bypass,
varanasi,/school/varanasi/subhash-chandra-academy-chakarama,https://yellowslate.com/school/varanasi/subhash-chandra-academy-chakarama,SUBHASH CHANDRA ACADEMY - Chakarama ,0,189,0,+919513238818,CBSE,2016,Boarding Schools,2026-27,Co-Education,Chakarama,
varanasi,/school/varanasi/guru-nanak-english-school-chhataripur,https://yellowslate.com/school/varanasi/guru-nanak-english-school-chhataripur,GURU NANAK ENGLISH SCHOOL - Chhataripur ,0,186,0,+919513238818,CBSE,1990,Boarding Schools,200 - 25,Co-Education,Chhataripur,
varanasi,/school/varanasi/glenhill-school-maheshpur,https://yellowslate.com/school/varanasi/glenhill-school-maheshpur,Glenhill School - Maheshpur ,3.8,185,104,+919513238818,CBSE,1985,Boarding Schools,2026-27,Co-Education,Maheshpur,
